Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"154,730"
2. Krediti i potrazivanja od banaka,"49,835"
3. Krediti i potrazivanja od klijenata,"300,927"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,"3,406"
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"86,246"
8.a. - raspolozive za prodaju,142
8.b. - koje se drze do dospijeca,"86,104"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,75
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","13,361"
13. Nematerijalna sredstva,"3,412"
14. Tekuca poreska sredstva,21
15. Odlozena poreska sredstva,95
16. Ostala finansijska potrazivanja,"2,638"
17. Ostala poslovna potrazivanja,125
18. UKUPNA SREDSTVA:,"614,870"
Obaveze,IZNOS
19. Depoziti banaka,663
20. Depoziti klijenata,"494,812"
21. Pozajmljena sredstva od banaka,353
22. Pozajmljena sredstva od ostalih klijenata,"2,910"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"3,683"
28. Tekuce poreske obaveze,103
29. Odlozene poreske obaveze,279
30. Ostale obaveze,"9,299"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"512,101"
Kapital,IZNOS
33. Akcijski kapital,"136,875"
34. Emisione premije,
35. Nerasporedjena dobit,"-60,271"
36. Dobit/gubitak tekuce godine,"9,129"
37. Ostale rezerve,"17,036"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"102,769"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"614,870"
