Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"148,426"
2. Krediti i potrazivanja od banaka,"49,099"
3. Krediti i potrazivanja od klijenata,"269,592"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,"2,989"
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"79,347"
8.a. - raspolozive za prodaju,138
8.b. - koje se drze do dospijeca,"79,209"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,75
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","12,228"
13. Nematerijalna sredstva,"3,285"
14. Tekuca poreska sredstva,104
15. Odlozena poreska sredstva,125
16. Ostala finansijska potrazivanja,"3,085"
17. Ostala poslovna potrazivanja,"1,270"
18. UKUPNA SREDSTVA:,"569,627"
Obaveze,IZNOS
19. Depoziti banaka,530
20. Depoziti klijenata,"454,779"
21. Pozajmljena sredstva od banaka,711
22. Pozajmljena sredstva od ostalih klijenata,"2,322"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"3,130"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,346
30. Ostale obaveze,"10,415"
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"472,233"
Kapital,IZNOS
33. Akcijski kapital,"136,875"
34. Emisione premije,
35. Nerasporedjena dobit,"-74,591"
36. Dobit/gubitak tekuce godine,"4,068"
37. Ostale rezerve,"31,042"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"97,393"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"569,627"
