Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"77,462"
2. Krediti i potrazivanja od banaka,"68,213"
3. Krediti i potrazivanja od klijenata,"324,805"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"65,017"
8.a. - raspolozive za prodaju,"65,017"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","3,789"
13. Nematerijalna sredstva,925
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"1,903"
17. Ostala poslovna potrazivanja,"2,070"
18. UKUPNA SREDSTVA:,"544,185"
Obaveze,IZNOS
19. Depoziti banaka,"1,296"
20. Depoziti klijenata,"396,796"
21. Pozajmljena sredstva od banaka,"39,285"
22. Pozajmljena sredstva od ostalih klijenata,"8,926"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,"4,095"
27. Rezerve,"1,561"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,1
30. Ostale obaveze,"4,086"
31. Subordinisani dug,"14,637"
32. UKUPNE OBAVEZE:,"470,682"
Kapital,IZNOS
33. Akcijski kapital,"49,925"
34. Emisione premije,"7,146"
35. Nerasporedjena dobit,"-36,166"
36. Dobit/gubitak tekuce godine,"8,814"
37. Ostale rezerve,"43,784"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"73,502"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"544,185"
