Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"97,974"
2. Krediti i potrazivanja od banaka,"48,551"
3. Krediti i potrazivanja od klijenata,"279,217"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"81,937"
8.a. - raspolozive za prodaju,"81,937"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","3,308"
13. Nematerijalna sredstva,862
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"1,082"
17. Ostala poslovna potrazivanja,"3,758"
18. UKUPNA SREDSTVA:,"516,689"
Obaveze,IZNOS
19. Depoziti banaka,"1,805"
20. Depoziti klijenata,"396,406"
21. Pozajmljena sredstva od banaka,"4,551"
22. Pozajmljena sredstva od ostalih klijenata,"24,361"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,445"
28. Tekuce poreske obaveze,6
29. Odlozene poreske obaveze,65
30. Ostale obaveze,"4,186"
31. Subordinisani dug,"14,426"
32. UKUPNE OBAVEZE:,"447,251"
Kapital,IZNOS
33. Akcijski kapital,"64,925"
34. Emisione premije,"7,146"
35. Nerasporedjena dobit,"-52,454"
36. Dobit/gubitak tekuce godine,"5,476"
37. Ostale rezerve,"44,345"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"69,438"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"516,689"
