Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"96,340"
2. Krediti i potrazivanja od banaka,"51,127"
3. Krediti i potrazivanja od klijenata,"290,344"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"67,600"
8.a. - raspolozive za prodaju,"67,600"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","3,499"
13. Nematerijalna sredstva,859
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"1,481"
17. Ostala poslovna potrazivanja,"3,583"
18. UKUPNA SREDSTVA:,"514,834"
Obaveze,IZNOS
19. Depoziti banaka,"2,131"
20. Depoziti klijenata,"383,917"
21. Pozajmljena sredstva od banaka,"13,195"
22. Pozajmljena sredstva od ostalih klijenata,"25,922"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"2,535"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,48
30. Ostale obaveze,"4,338"
31. Subordinisani dug,"14,344"
32. UKUPNE OBAVEZE:,"446,430"
Kapital,IZNOS
33. Akcijski kapital,"64,925"
34. Emisione premije,"7,146"
35. Nerasporedjena dobit,"-52,454"
36. Dobit/gubitak tekuce godine,"4,626"
37. Ostale rezerve,"44,162"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"68,404"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"514,834"
