Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"104,022"
2. Krediti i potrazivanja od banaka,"44,009"
3. Krediti i potrazivanja od klijenata,"293,230"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"61,891"
8.a. - raspolozive za prodaju,"61,891"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","3,828"
13. Nematerijalna sredstva,968
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,"1,449"
17. Ostala poslovna potrazivanja,"3,482"
18. UKUPNA SREDSTVA:,"512,879"
Obaveze,IZNOS
19. Depoziti banaka,"1,540"
20. Depoziti klijenata,"381,624"
21. Pozajmljena sredstva od banaka,"34,183"
22. Pozajmljena sredstva od ostalih klijenata,"9,980"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"3,282"
28. Tekuce poreske obaveze,10
29. Odlozene poreske obaveze,57
30. Ostale obaveze,"18,358"
31. Subordinisani dug,"14,431"
32. UKUPNE OBAVEZE:,"463,466"
Kapital,IZNOS
33. Akcijski kapital,"49,925"
34. Emisione premije,"7,146"
35. Nerasporedjena dobit,"-36,166"
36. Dobit/gubitak tekuce godine,"-15,735"
37. Ostale rezerve,"44,244"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"49,414"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"512,879"
