POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,743"
2. Prihodi od kamata na obezvrijedene plasmane,203
3. Rashodi od kamata i slicni rashodi,968
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"5,977"
4. Prihodi od naknada i provizija,"7,654"
5. Rashodi naknada i provizija,"2,042"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"5,612"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,"3,517"
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,0
12. Ostali prihodi,8
13. Troskovi zaposlenih,"2,876"
14. Troskovi amortizacije,239
15. Opsti i administrativni troskovi,"2,269"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"1,957"
18. Troskovi rezervisanja,1
19. Ostali rashodi,2
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"7,770"
21. Porez na dobit,654
22. NETO PROFIT/GUBITAK (III - 21),"7,116"
