POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"25,337"
2. Rashodi od kamata i slicni rashodi,"7,870"
3. NETO PRIHODI OD KAMATA (1- 2),"17,467"
4. Prihodi od dividendi,2
5. Troskovi obezvrjedjenja,"3,290"
6. Troskovi rezervisanja,220
7. Prihodi od naknada i provizija,"6,931"
8. Rahodi naknada i provizija,"3,064"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,867"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,3
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,275
15. Troskovi zaposlenih,"7,256"
16. Opsti i administrativni troskovi,"3,635"
17. Troskovi amortizacije,"1,077"
18. Ostali rashodi,415
19. Ostali prihodi,580
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"6,300"
21. Porez na prihod,586
22. NETO PROFIT/GUBITAK (20 - 21),"5,714"
