POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"11,576"
2. Prihodi od kamata na obezvrijedene plasmane,149
3. Rashodi od kamata i slicni rashodi,639
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"11,086"
4. Prihodi od naknada i provizija,"3,181"
5. Rashodi naknada i provizija,"2,474"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),707
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-380
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,96
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,49
12. Ostali prihodi,91
13. Troskovi zaposlenih,"3,342"
14. Troskovi amortizacije,693
15. Opsti i administrativni troskovi,"2,012"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,"2,148"
18. Troskovi rezervisanja,-3
19. Ostali rashodi,48
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"3,410"
21. Porez na dobit,321
22. NETO PROFIT/GUBITAK (III - 21),"3,089"
