POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"17,012"
2. Prihodi od kamata na obezvrijedene plasmane,359
3. Rashodi od kamata i slicni rashodi,"1,810"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"15,561"
4. Prihodi od naknada i provizija,"5,747"
5. Rashodi naknada i provizija,"3,534"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"2,213"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,"1,523"
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-194
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,191
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,52
12. Ostali prihodi,9
13. Troskovi zaposlenih,"6,285"
14. Troskovi amortizacije,858
15. Opsti i administrativni troskovi,"3,403"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,257
18. Troskovi rezervisanja,-133
19. Ostali rashodi,636
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"8,049"
21. Porez na dobit,777
22. NETO PROFIT/GUBITAK (III - 21),"7,272"
