POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"17,267"
2. Rashodi od kamata i slicni rashodi,"6,288"
3. NETO PRIHODI OD KAMATA (1- 2),"10,979"
4. Prihodi od dividendi,59
5. Troskovi obezvrjedjenja,"1,073"
6. Troskovi rezervisanja,299
7. Prihodi od naknada i provizija,"4,839"
8. Rahodi naknada i provizija,"1,793"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"3,046"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,60
15. Troskovi zaposlenih,"4,989"
16. Opsti i administrativni troskovi,"2,402"
17. Troskovi amortizacije,812
18. Ostali rashodi,127
19. Ostali prihodi,"2,223"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"6,666"
21. Porez na prihod,500
22. NETO PROFIT/GUBITAK (20 - 21),"6,166"
