,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"10,176"
,1) Depoziti,2
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"9,857"
,4) Hartije od vrijednosti koje se drze do dospijeca,35
,5) Ostali prihodi od kamata,282
RA 1.,Rashodi kamata,"4,971"
,1) Depoziti,"1,314"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,"3,643"
,5) Subordinisani dugovi I hibridni instrumenti,
,6) Ostali rashodi po kamatama,14
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"5,205"
II.,Troskovi za gubitke po stavkama aktive,"3,571"
III.,NETO PRIHODI / RASHODI (I-II),"1,635"
PR 2.,Prihodi od naknada,"3,228"
,1) Naknade po kreditima,193
,2) Naknade po vanbilansnim poslovima,111
,3) Naknade za izvrsene usluge,"1,646"
,4) Ostale naknade,"1,278"
RA 2.,Rashodi od naknada,779
,1) Naknade po kreditima,18
,2) Naknade po vanbilansnim poslovima,115
,3) Naknade za izvrsene usluge,259
,4) Ostale naknade,386
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"2,449"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"4,084"
PR 3.,Ostali prihodi,893
,1) Prihodi iz poslovanja sa devizama (neto),56
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-6
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,843
RA 3.,Opsti i ostali troskovi,"8,435"
,1) Troskovi plata,"4,464"
,2) Troskovi poslovnog prostora i fiksne aktive,"2,041"
,3) Ostali troskovi,"1,930"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),"-3,459"
PR 4.,Vanredni prihodi,74
RA 4.,Vanredni rashodi,15
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),59
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),"-3,400"
RA 5.,Porezi i doprinosi iz dobitka,
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),"-3,400"
