,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"2,150"
,1) Depoziti,3
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"2,081"
,4) Hartije od vrijednosti koje se drze do dospijeca,1
,5) Ostali prihodi od kamata,65
RA 1.,Rashodi kamata,506
,1) Depoziti,329
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,170
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,7
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"1,644"
II.,Troskovi za gubitke,734
III.,NETO PRIHODI / RASHODI (I-II),910
PR 2.,Prihodi od naknada,956
,1) Naknade po kreditima,169
,2) Naknade po vanbilansnim poslovima,102
,3) Naknade za izvrsene usluge,543
,4) Ostale naknade,143
RA 2.,Rashodi od naknada,141
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,83
,4) Ostale naknade,58
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),815
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"1,726"
PR 3.,Ostali prihodi,405
,1) Prihodi iz poslovanja sa devizama (neto),16
,2) Prihodi iz kursnih razlika ( revalorizacija ),22
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,367
RA 3.,Opsti troskovi,"1,865"
,1) Troskovi plata i doprinosa,982
,2) Troskovi poslovnog prostora i fiksne aktive,474
,3)Ostali troskovi,409
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),265
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,0
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),0
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),265
RA 5.,Porezi i doprinosi iz dobitka,9
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),256
