,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"4,167"
,1) Depoziti,16
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"3,820"
,4) Hartije od vrijednosti koje se drze do dospijeca,11
,5) Ostali prihodi od kamata,319
RA 1.,Rashodi kamata,666
,1) Depoziti,424
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,221
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,21
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"3,501"
II.,Troskovi za gubitke,-35
III.,NETO PRIHODI / RASHODI (I-II),"3,536"
PR 2.,Prihodi od naknada,"3,153"
,1) Naknade po kreditima,749
,2) Naknade po vanbilansnim poslovima,298
,3) Naknade za izvrsene usluge,"1,645"
,4) Ostale naknade,461
RA 2.,Rashodi od naknada,406
,1) Naknade po kreditima,23
,2) Naknade po vanbilansnim poslovima,0
,3) Naknade za izvrsene usluge,265
,4) Ostale naknade,118
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"2,746"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"6,282"
PR 3.,Ostali prihodi,"1,134"
,1) Prihodi iz poslovanja sa devizama (neto),52
,2) Prihodi iz kursnih razlika ( revalorizacija ),3
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,"1,079"
RA 3.,Opsti troskovi,"6,577"
,1) Troskovi plata i doprinosa,"4,118"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,036"
,3)Ostali troskovi,"1,423"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),839
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,2
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-2
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),837
RA 5.,Porezi i doprinosi iz dobitka,32
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),805
