POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"11,462"
2. Rashodi od kamata i slicni rashodi,"1,462"
3. NETO PRIHODI OD KAMATA (1- 2),"10,000"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"1,675"
6. Troskovi rezervisanja,562
7. Prihodi od naknada i provizija,"3,938"
8. Rahodi naknada i provizija,"1,835"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,102"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,125
15. Troskovi zaposlenih,"3,584"
16. Opsti i administrativni troskovi,"1,824"
17. Troskovi amortizacije,543
18. Ostali rashodi,43
19. Ostali prihodi,41
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"4,037"
21. Porez na prihod,411
22. NETO PROFIT/GUBITAK (20 - 21),"3,626"
