POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"12,018"
2. Prihodi od kamata na obezvrijedene plasmane,134
3. Rashodi od kamata i slicni rashodi,917
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"11,234"
4. Prihodi od naknada i provizija,"3,834"
5. Rashodi naknada i provizija,"2,696"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"1,138"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,0
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-235
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,130
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,-17
12. Ostali prihodi,277
13. Troskovi zaposlenih,"3,486"
14. Troskovi amortizacije,617
15. Opsti i administrativni troskovi,"2,054"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,427
18. Troskovi rezervisanja,101
19. Ostali rashodi,82
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"5,761"
21. Porez na dobit,454
22. NETO PROFIT/GUBITAK (III - 21),"5,307"
