POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"22,993"
2. Prihodi od kamata na obezvrijedene plasmane,453
3. Rashodi od kamata i slicni rashodi,"2,377"
I. NETO PRIHODI OD KAMATA (1 + 2 - 3),"21,069"
4. Prihodi od naknada i provizija,"7,786"
5. Rashodi naknada i provizija,"4,688"
II. NETO PRIHODI OD NAKNADA I PROVIZIJA (4 - 5),"3,099"
6. Neto dobitak / gubitak usled prestanka priznavanja finansijske instrumenata koji se ne vrednuju po fer vrijednosti kroz bilans uspjeha,"1,523"
7. Neto dobitak/gubitak po osnovu finansijskih instrumenata koji se drze radi trgovanja,
"8. Neto dobitak / gubitak od finansijskih instrumenata iskazanih po fer vrijednosti kroz bilans uspjeha, a koji se ne drze radi trgovanja",-169
9. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
10. Neto gubici/dobici od kursnih razlika,262
11. Neto dobitak/gubitak po osnovu prestanka priznavanja ostale imovine,46
12. Ostali prihodi,66
13. Troskovi zaposlenih,"8,071"
14. Troskovi amortizacije,"1,147"
15. Opsti i administrativni troskovi,"4,585"
16. Neto dobici/gubici po osnovu modifikacije i reklasifikacije finansijskih instrumenata,
17. Neto prihodi/rashodi po osnovu obezvredjenja finansijskih instrumenata koji se ne vrednuju po fer vrednosti kroz bilans uspjeha,-52
18. Troskovi rezervisanja,-244
19. Ostali rashodi,667
III. DOBITAK/GUBITAK PRE OPOREZIVANJA : I+II+6+7+8+9+10+11+12-13-14-15-16-17-18-19,"11,722"
21. Porez na dobit,"1,064"
22. NETO PROFIT/GUBITAK (III - 21),"10,658"
