,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"3,788"
,1) Depoziti,23
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"3,585"
,4) Hartije od vrijednosti koje se drze do dospijeca,78
,5) Ostali prihodi od kamata,103
RA 1.,Rashodi kamata,482
,1) Depoziti,276
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,206
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"3,306"
II.,Troskovi za gubitke,"4,852"
III.,NETO PRIHODI / RASHODI (I-II),"-1,546"
PR 2.,Prihodi od naknada,"2,234"
,1) Naknade po kreditima,311
,2) Naknade po vanbilansnim poslovima,337
,3) Naknade za izvrsene usluge,"1,287"
,4) Ostale naknade,299
RA 2.,Rashodi od naknada,359
,1) Naknade po kreditima,50
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,273
,4) Ostale naknade,36
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,875"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),329
PR 3.,Ostali prihodi,"7,866"
,1) Prihodi iz poslovanja sa devizama (neto),38
,2) Prihodi iz kursnih razlika ( revalorizacija ),-91
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,"2,830"
,4) Ostali prihodi,"5,090"
RA 3.,Opsti troskovi,"4,666"
,1) Troskovi plata i doprinosa,"3,077"
,2) Troskovi poslovnog prostora i fiksne aktive,526
,3)Ostali troskovi,"1,063"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"3,529"
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,0
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),0
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"3,529"
RA 5.,Porezi i doprinosi iz dobitka,289
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),"3,240"
