,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"4,527"
,1) Depoziti,9
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"4,338"
,4) Hartije od vrijednosti koje se drze do dospijeca,2
,5) Ostali prihodi od kamata,178
RA 1.,Rashodi kamata,"1,298"
,1) Depoziti,732
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,551
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,16
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"3,229"
II.,Troskovi za gubitke,137
III.,NETO PRIHODI / RASHODI (I-II),"3,092"
PR 2.,Prihodi od naknada,"2,061"
,1) Naknade po kreditima,364
,2) Naknade po vanbilansnim poslovima,199
,3) Naknade za izvrsene usluge,"1,215"
,4) Ostale naknade,283
RA 2.,Rashodi od naknada,270
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,141
,4) Ostale naknade,129
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"1,791"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"4,883"
PR 3.,Ostali prihodi,"1,915"
,1) Prihodi iz poslovanja sa devizama (neto),30
,2) Prihodi iz kursnih razlika ( revalorizacija ),30
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,"1,855"
RA 3.,Opsti troskovi,"4,284"
,1) Troskovi plata i doprinosa,"2,321"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,055"
,3)Ostali troskovi,907
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"2,515"
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,0
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),0
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"2,514"
RA 5.,Porezi i doprinosi iz dobitka,19
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),"2,495"
