POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"9,561"
2. Rashodi od kamata i slicni rashodi,"3,565"
3. NETO PRIHODI OD KAMATA (1- 2),"5,996"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,661
6. Troskovi rezervisanja,25
7. Prihodi od naknada i provizija,"4,153"
8. Rahodi naknada i provizija,"2,431"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,721"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,76
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,15
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,93
15. Troskovi zaposlenih,"3,382"
16. Opsti i administrativni troskovi,"4,185"
17. Troskovi amortizacije,198
18. Ostali rashodi,"1,940"
19. Ostali prihodi,"2,001"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-488
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-488
