,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"24,949"
,1) Depoziti,254
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i poslovi lizinga,"22,895"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,"1,801"
RA 1.,Rashodi kamata,"13,898"
,1) Depoziti,"12,704"
,2) HoV prodate uz obavezu ponovnog otkupa,
,3) Uzete pozajmice - dospjele obaveze,
,4) Obaveze po uzetim kreditima i ostalim pozajmicama,619
,5) Subordinisani dugovi I hibridni instrumenti,
,6) Ostali rashodi po kamatama,575
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1. - RA.1.),"11,052"
II.,Troskovi za gubitke po stavkama aktive,"1,571"
III.,NETO PRIHODI / RASHODI (I-II),"9,480"
PR 2.,Prihodi od naknada,"2,920"
,1) Naknade po kreditima,569
,2) Naknade po vanbilansnim poslovima,417
,3) Naknade za izvrsene usluge,"1,633"
,4) Ostale naknade,302
RA 2.,Rashodi od naknada,"2,330"
,1) Naknade po kreditima,0
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,533
,4) Ostale naknade,"1,797"
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),590
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"10,070"
PR 3.,Ostali prihodi,-35
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Ponovna procjena prihoda/gubitaka iz poslovanja sa devizama (revalorizacija),-45
,3) Prihodi po osnovu trgovine hartija od vrijednosti (neto) i dobici/gubici hartija od vrijednosti raspolozivih za prodaju i onih koje se drze do dospijeca (ukljucujuci ulaganja u kapital),
,"4) Prihodi po osnovu trgovanja (neto) derivatima futures-forward, opcije,swap,drugim derivatima, trgovanja devizama spot-transakcije, i po osnovu kamatnih Swopova",
,5) Neto gubici/dobici od kastodi poslova,
,6) Ostali prihodi,10
RA 3.,Opsti i ostali troskovi,"9,376"
,1) Troskovi plata,"4,158"
,2) Troskovi poslovnog prostora i fiksne aktive,"3,144"
,3) Ostali troskovi,"2,074"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3-RA3),659
PR 4.,Vanredni prihodi,8
RA 4.,Vanredni rashodi,9
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-1
VIII.,NETO PRIHODI / RASHODI POSLE VANREDNIH STAVKI (VI+VII),658
RA 5.,Porezi i doprinosi iz dobitka,
IX.,NETO DOBITAK / GUBITAK (VIII- RA 5.),658
