POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"10,136"
2. Rashodi od kamata i slicni rashodi,"4,425"
3. NETO PRIHODI OD KAMATA (1- 2),"5,711"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"1,711"
6. Troskovi rezervisanja,
7. Prihodi od naknada i provizija,"3,711"
8. Rahodi naknada i provizija,"2,037"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"1,674"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,165
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,57
15. Troskovi zaposlenih,"3,508"
16. Opsti i administrativni troskovi,"4,058"
17. Troskovi amortizacije,310
18. Ostali rashodi,303
19. Ostali prihodi,"2,721"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),437
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),437
