POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"13,144"
2. Rashodi od kamata i slicni rashodi,"4,718"
3. NETO PRIHODI OD KAMATA (1- 2),"8,427"
4. Prihodi od dividendi,307
5. Troskovi obezvrjedjenja,754
6. Troskovi rezervisanja,66
7. Prihodi od naknada i provizija,"5,657"
8. Rahodi naknada i provizija,"3,279"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),"2,378"
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,91
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,15
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,140
15. Troskovi zaposlenih,"4,328"
16. Opsti i administrativni troskovi,"5,744"
17. Troskovi amortizacije,258
18. Ostali rashodi,"3,051"
19. Ostali prihodi,"3,109"
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),265
21. Porez na prihod,13
22. NETO PROFIT/GUBITAK (20 - 21),252
