POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"6,650"
2. Rashodi od kamata i slicni rashodi,"2,405"
3. NETO PRIHODI OD KAMATA (1- 2),"4,245"
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,797
6. Troskovi rezervisanja,
7. Prihodi od naknada i provizija,"2,501"
8. Rahodi naknada i provizija,"1,504"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),997
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,62
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,15
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,59
15. Troskovi zaposlenih,"2,308"
16. Opsti i administrativni troskovi,"2,770"
17. Troskovi amortizacije,136
18. Ostali rashodi,976
19. Ostali prihodi,719
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-891
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-891
