,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"17,498"
,1) Depoziti,51
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"16,991"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,456
RA 1.,Rashodi kamata,"9,925"
,1) Depoziti,"9,576"
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,349
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),"7,573"
II.,Troskovi za gubitke,"2,765"
III.,NETO PRIHODI / RASHODI (I-II),"4,808"
PR 2.,Prihodi od naknada,"5,879"
,1) Naknade po kreditima,"2,418"
,2) Naknade po vanbilansnim poslovima,492
,3) Naknade za izvrsene usluge,"2,820"
,4) Ostale naknade,149
RA 2.,Rashodi od naknada,"1,495"
,1) Naknade po kreditima,122
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,676
,4) Ostale naknade,697
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),"4,385"
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),"9,193"
PR 3.,Ostali prihodi,225
,1) Prihodi iz poslovanja sa devizama (neto),
,2) Prihodi iz kursnih razlika ( revalorizacija ),189
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,
,4) Ostali prihodi,36
RA 3.,Opsti troskovi,"6,290"
,1) Troskovi plata i doprinosa,"1,880"
,2) Troskovi poslovnog prostora i fiksne aktive,"1,688"
,3)Ostali troskovi,"2,721"
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"3,129"
PR 4.,Vanredni prihodi,1
RA 4.,Vanredni rashodi,3
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-2
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"3,126"
RA 5.,Porezi i doprinosi iz dobitka,295
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),"2,831"
