POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"8,850"
2. Rashodi od kamata i slicni rashodi,"3,511"
3. NETO PRIHODI OD KAMATA (1- 2),"5,339"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,"1,679"
6. Troskovi rezervisanja,"10,006"
7. Prihodi od naknada i provizija,"2,050"
8. Rahodi naknada i provizija,"1,071"
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),979
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,22
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,"-1,160"
15. Troskovi zaposlenih,"3,166"
16. Opsti i administrativni troskovi,"2,916"
17. Troskovi amortizacije,371
18. Ostali rashodi,324
19. Ostali prihodi,504
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),"-12,778"
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),"-12,778"
