,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,"1,542"
,1) Depoziti,116
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,"1,423"
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,3
RA 1.,Rashodi kamata,669
,1) Depoziti,90
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,579
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),873
II.,Troskovi za gubitke,"1,232"
III.,NETO PRIHODI / RASHODI (I-II),-359
PR 2.,Prihodi od naknada,369
,1) Naknade po kreditima,86
,2) Naknade po vanbilansnim poslovima,35
,3) Naknade za izvrsene usluge,243
,4) Ostale naknade,5
RA 2.,Rashodi od naknada,107
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,85
,3) Naknade za izvrsene usluge,4
,4) Ostale naknade,18
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),262
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),-97
PR 3.,Ostali prihodi,309
,1) Prihodi iz poslovanja sa devizama (neto),6
,2) Prihodi iz kursnih razlika ( revalorizacija ),1
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,2
,4) Ostali prihodi,301
RA 3.,Opsti troskovi,"2,838"
,1) Troskovi plata i doprinosa,"1,635"
,2) Troskovi poslovnog prostora i fiksne aktive,589
,3)Ostali troskovi,614
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),"-2,627"
PR 4.,Vanredni prihodi,
RA 4.,Vanredni rashodi,
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),"-2,627"
RA 5.,Porezi i doprinosi iz dobitka,50
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),"-2,677"
