POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"7,108"
2. Rashodi od kamata i slicni rashodi,"3,039"
3. NETO PRIHODI OD KAMATA (1- 2),"4,069"
4. Prihodi od dividendi,
5. Troskovi obezvrjedjenja,471
6. Troskovi rezervisanja,86
7. Prihodi od naknada i provizija,"1,225"
8. Rahodi naknada i provizija,562
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),663
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,32
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,46
15. Troskovi zaposlenih,"2,100"
16. Opsti i administrativni troskovi,"1,775"
17. Troskovi amortizacije,211
18. Ostali rashodi,86
19. Ostali prihodi,135
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),217
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),217
