POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"1,273"
2. Rashodi od kamata i slicni rashodi,835
3. NETO PRIHODI OD KAMATA (1- 2),437
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,60
6. Troskovi rezervisanja,-1
7. Prihodi od naknada i provizija,233
8. Rahodi naknada i provizija,202
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),31
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,40
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,-17
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-2
15. Troskovi zaposlenih,516
16. Opsti i administrativni troskovi,265
17. Troskovi amortizacije,
18. Ostali rashodi,31
19. Ostali prihodi,26
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-356
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-356
