POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,861
2. Rashodi od kamata i slicni rashodi,554
3. NETO PRIHODI OD KAMATA (1- 2),308
4. Prihodi od dividendi,1
5. Troskovi obezvrjedjenja,56
6. Troskovi rezervisanja,0
7. Prihodi od naknada i provizija,152
8. Rahodi naknada i provizija,132
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),20
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,5
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,-16
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-2
15. Troskovi zaposlenih,335
16. Opsti i administrativni troskovi,198
17. Troskovi amortizacije,
18. Ostali rashodi,31
19. Ostali prihodi,19
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-284
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-284
