POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"1,687"
2. Rashodi od kamata i slicni rashodi,815
3. NETO PRIHODI OD KAMATA (1- 2),872
4. Prihodi od dividendi,5
5. Troskovi obezvrjedjenja,67
6. Troskovi rezervisanja,-2
7. Prihodi od naknada i provizija,195
8. Rahodi naknada i provizija,191
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),5
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,10
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,-12
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,14
15. Troskovi zaposlenih,500
16. Opsti i administrativni troskovi,336
17. Troskovi amortizacije,80
18. Ostali rashodi,21
19. Ostali prihodi,149
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),40
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),40
