POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,885
2. Rashodi od kamata i slicni rashodi,584
3. NETO PRIHODI OD KAMATA (1- 2),301
4. Prihodi od dividendi,3
5. Troskovi obezvrjedjenja,41
6. Troskovi rezervisanja,3
7. Prihodi od naknada i provizija,103
8. Rahodi naknada i provizija,109
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),-6
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,10
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,-46
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-1
15. Troskovi zaposlenih,335
16. Opsti i administrativni troskovi,214
17. Troskovi amortizacije,
18. Ostali rashodi,1
19. Ostali prihodi,24
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),-310
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),-310
