POZICIJA,IZNOS
1. Prihodi od kamata i slicni prihodi,"1,641"
2. Rashodi od kamata i slicni rashodi,690
3. NETO PRIHODI OD KAMATA (1- 2),951
4. Prihodi od dividendi,8
5. Troskovi obezvrjedjenja,-39
6. Troskovi rezervisanja,2
7. Prihodi od naknada i provizija,209
8. Rahodi naknada i provizija,179
9. NETO PRIHODI OD NAKNADA I PROVIZIJA (7- 8),30
10. Neto dobici / gubici od finansijskih instrumenata koji se drze za trgovinu,-2
11. Neto dobici / gubici od finansijskih instrumenata koji se vode po fer vrijednosti kroz Bilans uspjeha,
12. Neto dobici / gubici od investicionih HOV,6
13. Promjena fer vrijednosti u racunovodstvu zastite od rizika (hedzing),
14. Neto gubici/dobici od kursnih razlika,-18
15. Troskovi zaposlenih,487
16. Opsti i administrativni troskovi,365
17. Troskovi amortizacije,119
18. Ostali rashodi,49
19. Ostali prihodi,34
20. OPERATIVNI PROFIT (3+4-5-6+9+10+11+12+13+14-15-16-17-18+19),25
21. Porez na prihod,
22. NETO PROFIT/GUBITAK (20 - 21),25
