,POZICIJA,IZNOS
PR 1.,Prihodi od kamata,930
,1) Depoziti,143
,2) Hartije od vrijednosti kupljene po ugovoru o ponovnoj prodaji,
,3) Krediti i lizing,760
,4) Hartije od vrijednosti koje se drze do dospijeca,
,5) Ostali prihodi od kamata,27
RA 1.,Rashodi kamata,104
,1) Depoziti,50
,2) Hartije od vrijednosti prodate po ugovoru o rekupovini,
,3) Obaveze po uzetim kreditima i ostalim pozajmicama,
,4) Ostale pozajmice - dospjele obaveze,54
,5) Subordinisani dugovi,
,6) Ostali rashodi po kamatama,0
I.,NETO PRIHODI/RASHODI OD KAMATA (PR.1.-RA.1.),826
II.,Troskovi za gubitke,281
III.,NETO PRIHODI / RASHODI (I-II),545
PR 2.,Prihodi od naknada,708
,1) Naknade po kreditima,108
,2) Naknade po vanbilansnim poslovima,16
,3) Naknade za izvrsene usluge,15
,4) Ostale naknade,570
RA 2.,Rashodi od naknada,275
,1) Naknade po kreditima,
,2) Naknade po vanbilansnim poslovima,
,3) Naknade za izvrsene usluge,89
,4) Ostale naknade,186
IV.,NETO PRIHODI / RASHODI OD NAKNADA (PR 2. - RA 2.),433
V.,NETO PRIHODI / RASHODI OD KAMATA I NAKNADA ( III+IV),978
PR 3.,Ostali prihodi,-222
,1) Prihodi iz poslovanja sa devizama (neto),4
,2) Prihodi iz kursnih razlika ( revalorizacija ),-6
,3) Prihodi po osnovu trgovine hartija od vrijednosti - neto dobitak / gubitak od hartija koje su raspolozive za prodaju ili se drze do dospijeca,-822
,4) Ostali prihodi,601
RA 3.,Opsti troskovi,"1,631"
,1) Troskovi plata i doprinosa,906
,2) Troskovi poslovnog prostora i fiksne aktive,362
,3)Ostali troskovi,363
VI.,NETO PRIHODI / RASHODI PRIJE VANREDNIH STAVKI (V.+ PR3 - RA3),-874
PR 4.,Vanredni prihodi,0
RA 4.,Vanredni rashodi,3
VII.,NETO OSTALI VANREDNI PRIHODI I RASHODI (PR 4. - RA 4.),-3
VIII.,NETO PRIHODI / RASHODI POSLIJE VANREDNIH STAVKI (VI - VII),-877
RA 5.,Porezi i doprinosi iz dobitka,6
IX.,NETO DOBITAK / GUBITAK (VIII - RA 5.),-884
