Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"18,961"
2. Krediti i potrazivanja od banaka,"20,126"
3. Krediti i potrazivanja od klijenata,"54,470"
4. Sredstva namijenjena prodaji,"4,259"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"19,444"
8.a. - raspolozive za prodaju,"19,444"
8.b. - koje se drze do dospijeca,
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","2,367"
13. Nematerijalna sredstva,54
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,6
16. Ostala finansijska potrazivanja,587
17. Ostala poslovna potrazivanja,"4,291"
18. UKUPNA SREDSTVA:,"124,567"
Obaveze,IZNOS
19. Depoziti banaka,39
20. Depoziti klijenata,"97,068"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"5,016"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,"1,162"
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,212
30. Ostale obaveze,291
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"103,788"
Kapital,IZNOS
33. Akcijski kapital,"27,370"
34. Emisione premije,
35. Nerasporedjena dobit,"-12,902"
36. Dobit/gubitak tekuce godine,"1,333"
37. Ostale rezerve,"4,978"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"20,779"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"124,567"
