Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"1,437"
2. Krediti i potrazivanja od banaka,"4,412"
3. Krediti i potrazivanja od klijenata,"2,484"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"3,706"
8.a. - raspolozive za prodaju,"2,064"
8.b. - koje se drze do dospijeca,"1,641"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",514
13. Nematerijalna sredstva,669
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,5
17. Ostala poslovna potrazivanja,13
18. UKUPNA SREDSTVA:,"13,240"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,701
21. Pozajmljena sredstva od banaka,"3,400"
22. Pozajmljena sredstva od ostalih klijenata,
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,0
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,26
30. Ostale obaveze,113
31. Subordinisani dug,
32. UKUPNE OBAVEZE:,"4,240"
Kapital,IZNOS
33. Akcijski kapital,"10,000"
34. Emisione premije,
35. Nerasporedjena dobit,
36. Dobit/gubitak tekuce godine,"-1,045"
37. Ostale rezerve,45
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"9,000"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"13,240"
