Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"8,199"
2. Krediti i potrazivanja od banaka,"39,197"
3. Krediti i potrazivanja od klijenata,"16,790"
4. Sredstva namijenjena prodaji,"4,240"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"1,200"
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,"1,200"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,50
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","3,911"
13. Nematerijalna sredstva,180
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,192
17. Ostala poslovna potrazivanja,24
18. UKUPNA SREDSTVA:,"73,983"
Obaveze,IZNOS
19. Depoziti banaka,227
20. Depoziti klijenata,"58,626"
21. Pozajmljena sredstva od banaka,17
22. Pozajmljena sredstva od ostalih klijenata,"5,297"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,5
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,403
31. Subordinisani dug,"1,000"
32. UKUPNE OBAVEZE:,"65,575"
Kapital,IZNOS
33. Akcijski kapital,"16,002"
34. Emisione premije,
35. Nerasporedjena dobit,"-7,904"
36. Dobit/gubitak tekuce godine,34
37. Ostale rezerve,276
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"8,408"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"73,983"
