Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"78,262"
2. Finansijska sredstva po amortizovanoj vrijednosti,"264,700"
2.a. Krediti i potrazivanja od banaka,"30,225"
2.b. Krediti i potrazivanja od klijenata,"168,052"
2.c. Hartije od vrijednosti,"65,909"
2.d. Ostala finansijska sredstva,514
3. Finansijska sredstva po fer vrijednosti kroz ostali ukupni rezultat,"49,751"
3.a. Krediti i potrazivanja od banaka,
3.b. Krediti i potrazivanja od klijenata,
3.c. Hartije od vrijednosti,"49,751"
3.d. Ostala finansijska sredstva,
4. Finansijska sredstva koja se drze radi trgovanja,514
4.a. Krediti i potrazivanja od banaka,
4.b. Krediti i potrazivanja od klijenata,
4.c. Hartije od vrijednosti,514
4.d. Ostala finansijska sredstva,
"5. Finansijska sredstva koja se vrednuju po fer vrijednosti kroz bilans uspjeha, koja se ne drze radi trgovanja",
5.a. Krediti i potrazivanja od banaka,
5.b. Krediti i potrazivanja od klijenata,
5.c. Hartije od vrijednosti,
5.d. Ostala finansijska sredstva,
6. Derivati koji se drze zbog zastite od rizika,
7. Promjene u fer vrijednsti stavki koje su predmet zastite od rizika,
"8. Investicije u pridruzena drustva, zavisna drustva i zajednicke poduhvate po metodi kapitala",152
9. Investicione nekretnine,35
"10. Nekretnine, postrojenja i oprema","4,163"
11. Nematerijalna sredstva,527
12. Tekuca poreska sredstva,
13. Odlozena poreska sredstva,574
14. Stalna sredstva namijenjena prodaji i sredstva poslovanja koje se obustavlja,
15. Ostala sredstva,"3,113"
16. UKUPNA SREDSTVA:,"401,792"
Obaveze,IZNOS
17. Finansijske obaveze koje se iskazuju po amortizovanoj vrijednosti,"357,306"
17.a. Depoziti banaka i centralnih banaka,
17.b. Depoziti klijenata,"353,018"
17.c. Krediti banaka i centralnih banaka,
17.d. Krediti klijenata koji nijesu banke,"4,288"
17.e. Hartije od vrijednosti,
17.f. Ostale finansijske obaveze,
18. Finansijske obaveze koje se drze radi trgovanja,
18.a. Depoziti banaka i centralnih banaka,
18.b. Depoziti klijenata,
18.c. Krediti banaka i centralnih banaka,
18.d. Krediti klijenata koji nijesu banke,
18.e. Hartije od vrijednosti,
18.f. Ostale finansijske obaveze,
19. Finansijske obaveze kojima se ne trguje i koje se vrednuju po fer vrijednosti kroz bilans uspjeha,
19.a. Depoziti banaka i centralnih banaka,
19.b. Depoziti klijenata,
19.c. Krediti banaka i centralnih banaka,
19.d. Krediti klijenata koji nijesu banke,
19.e. Ostale finansijske obaveze,
20. Derivatne finansijske obaveze kao instrument zastite,
21. Promjene fer vrijednosti stavki koje su predmet zastite od rizika,
22. Rezerve,428
23. Obaveze po osnovu sredstava namijenjenih prodaji i sredstva poslovanja koje se obustavlja,
24. Tekuce poreske obaveze,"1,523"
25. Odlozene poreske obaveze,176
26. Ostale obaveze,"8,713"
27. Subordinisani dug,
28. UKUPNE OBAVEZE:,"368,146"
Kapital,IZNOS
29. Akcijski kapital,"13,124"
30. Emisione premije,
31. Nerasporedena dobit,"14,505"
32. Dobit/gubitak tekuce godine,"8,257"
33. Ostale rezerve,"-2,240"
34. Interesi bez kontrolnog uticaja u kapitalu,
35. UKUPAN KAPITAL: (29. do 34.),"33,647"
36. UKUPNI KAPITAL I OBAVEZE: (28. + 35.),"401,792"
