Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"6,063"
2. Krediti i potrazivanja od banaka,"6,125"
3. Krediti i potrazivanja od klijenata,"16,388"
4. Sredstva namijenjena prodaji,"4,299"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,350
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,350
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",635
13. Nematerijalna sredstva,149
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,124
17. Ostala poslovna potrazivanja,464
18. UKUPNA SREDSTVA:,"34,598"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"24,922"
21. Pozajmljena sredstva od banaka,"2,750"
22. Pozajmljena sredstva od ostalih klijenata,"1,307"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,3
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,135
31. Subordinisani dug,"1,000"
32. UKUPNE OBAVEZE:,"30,116"
Kapital,IZNOS
33. Akcijski kapital,"12,214"
34. Emisione premije,
35. Nerasporedjena dobit,"-7,842"
36. Dobit/gubitak tekuce godine,8
37. Ostale rezerve,101
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"4,482"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"34,598"
