Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"3,374"
2. Krediti i potrazivanja od banaka,226
3. Krediti i potrazivanja od klijenata,"15,046"
4. Sredstva namijenjena prodaji,"1,538"
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,400
8.a. - raspolozive za prodaju,
8.b. - koje se drze do dospijeca,400
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema",536
13. Nematerijalna sredstva,149
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,40
17. Ostala poslovna potrazivanja,546
18. UKUPNA SREDSTVA:,"21,854"
Obaveze,IZNOS
19. Depoziti banaka,0
20. Depoziti klijenata,"13,427"
21. Pozajmljena sredstva od banaka,"2,976"
22. Pozajmljena sredstva od ostalih klijenata,"1,276"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,2
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,83
31. Subordinisani dug,"1,029"
32. UKUPNE OBAVEZE:,"18,793"
Kapital,IZNOS
33. Akcijski kapital,"12,214"
34. Emisione premije,
35. Nerasporedjena dobit,"-7,904"
36. Dobit/gubitak tekuce godine,"-1,350"
37. Ostale rezerve,101
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"3,061"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"21,854"
