Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"17,094"
2. Krediti i potrazivanja od banaka,"54,078"
3. Krediti i potrazivanja od klijenata,"119,459"
4. Sredstva namijenjena prodaji,357
5. Finansijska sredstva koja se drze za trgovanje,"1,206"
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"6,792"
8.a. - raspolozive za prodaju,182
8.b. - koje se drze do dospijeca,"6,611"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"2,125"
10. Investicije u zavisna preduzeca,"5,727"
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","7,735"
13. Nematerijalna sredstva,499
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,
16. Ostala finansijska potrazivanja,263
17. Ostala poslovna potrazivanja,"3,636"
18. UKUPNA SREDSTVA:,"218,969"
Obaveze,IZNOS
19. Depoziti banaka,364
20. Depoziti klijenata,"163,154"
21. Pozajmljena sredstva od banaka,"18,068"
22. Pozajmljena sredstva od ostalih klijenata,"6,887"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,289
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,68
30. Ostale obaveze,699
31. Subordinisani dug,"1,200"
32. UKUPNE OBAVEZE:,"190,730"
Kapital,IZNOS
33. Akcijski kapital,"25,659"
34. Emisione premije,
35. Nerasporedjena dobit,"2,285"
36. Dobit/gubitak tekuce godine,-436
37. Ostale rezerve,732
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"28,240"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"218,969"
