Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"13,771"
2. Krediti i potrazivanja od banaka,"51,228"
3. Krediti i potrazivanja od klijenata,"129,095"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,883
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"11,325"
8.a. - raspolozive za prodaju,"1,321"
8.b. - koje se drze do dospijeca,"10,004"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"2,421"
10. Investicije u zavisna preduzeca,"5,727"
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","7,790"
13. Nematerijalna sredstva,191
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,26
16. Ostala finansijska potrazivanja,350
17. Ostala poslovna potrazivanja,"8,182"
18. UKUPNA SREDSTVA:,"230,990"
Obaveze,IZNOS
19. Depoziti banaka,"3,697"
20. Depoziti klijenata,"168,522"
21. Pozajmljena sredstva od banaka,"17,269"
22. Pozajmljena sredstva od ostalih klijenata,"10,421"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,249
28. Tekuce poreske obaveze,2
29. Odlozene poreske obaveze,
30. Ostale obaveze,636
31. Subordinisani dug,"1,260"
32. UKUPNE OBAVEZE:,"202,056"
Kapital,IZNOS
33. Akcijski kapital,"25,659"
34. Emisione premije,
35. Nerasporedjena dobit,"2,457"
36. Dobit/gubitak tekuce godine,85
37. Ostale rezerve,732
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"28,933"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"230,990"
