Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"26,320"
2. Krediti i potrazivanja od banaka,"64,820"
3. Krediti i potrazivanja od klijenata,"84,807"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"2,168"
8.a. - raspolozive za prodaju,"2,060"
8.b. - koje se drze do dospijeca,108
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"1,698"
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","7,022"
13. Nematerijalna sredstva,396
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,113
16. Ostala finansijska potrazivanja,"17,773"
17. Ostala poslovna potrazivanja,"52,412"
18. UKUPNA SREDSTVA:,"257,528"
Obaveze,IZNOS
19. Depoziti banaka,
20. Depoziti klijenata,"200,891"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"18,953"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,205
28. Tekuce poreske obaveze,
29. Odlozene poreske obaveze,
30. Ostale obaveze,"2,777"
31. Subordinisani dug,"1,332"
32. UKUPNE OBAVEZE:,"224,158"
Kapital,IZNOS
33. Akcijski kapital,"30,659"
34. Emisione premije,
35. Nerasporedjena dobit,
36. Dobit/gubitak tekuce godine,549
37. Ostale rezerve,"2,162"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"33,370"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"257,528"
