Aktiva,IZNOS
1. Novcana sredstva i racuni depozita kod centralnih banaka,"26,683"
2. Krediti i potrazivanja od banaka,"40,736"
3. Krediti i potrazivanja od klijenata,"142,808"
4. Sredstva namijenjena prodaji,
5. Finansijska sredstva koja se drze za trgovanje,
6. Ostala sredstva koja se vode po fer vrijednosti kroz bilans uspjeha,
7. Derivatna finansijska sredstva kao instrument zastite,
8. Investicione hartije od vrijednosti,"9,225"
8.a. - raspolozive za prodaju,"3,834"
8.b. - koje se drze do dospijeca,"5,391"
9. Investicije u pridruzena preduzeca i zajednicke poduhvate po metodi kapitala,"2,091"
10. Investicije u zavisna preduzeca,
11. Investicione nekretnine/nepokretnosti,
"12. Nekretnine, postrojenja i oprema","7,601"
13. Nematerijalna sredstva,136
14. Tekuca poreska sredstva,
15. Odlozena poreska sredstva,107
16. Ostala finansijska potrazivanja,"22,544"
17. Ostala poslovna potrazivanja,"10,889"
18. UKUPNA SREDSTVA:,"262,819"
Obaveze,IZNOS
19. Depoziti banaka,252
20. Depoziti klijenata,"194,466"
21. Pozajmljena sredstva od banaka,
22. Pozajmljena sredstva od ostalih klijenata,"34,570"
23. Finansijske obaveze koje se drze za trgovanje,
24. Finansijske obaveze koje se vode po fer vrijednosti kroz bilans uspjeha,
25. Derivatne finansijske obaveze kao instrument zastite,
26. Izdate duznicke hartije od vrijednosti,
27. Rezerve,553
28. Tekuce poreske obaveze,2
29. Odlozene poreske obaveze,
30. Ostale obaveze,"2,164"
31. Subordinisani dug,"1,308"
32. UKUPNE OBAVEZE:,"233,315"
Kapital,IZNOS
33. Akcijski kapital,"25,659"
34. Emisione premije,
35. Nerasporedjena dobit,508
36. Dobit/gubitak tekuce godine,199
37. Ostale rezerve,"3,137"
38. Interesi bez kontrolnog uticaja u kapitalu,
39. UKUPAN KAPITAL: (33. do 38.),"29,503"
40. UKUPNI KAPITAL I OBAVEZE: (32. + 39.),"262,819"
